title                                                                                                                                                            , authors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , paper_url
FedECADO: A Dynamical System Model of Federated Learning                                                                                                         , "Aayushya Agarwal, Gauri Joshi, Lawrence Pileggi"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , https://proceedings.mlr.press/v267/agarwal25c.html
The Missing Alignment Link of In-context Learning on Sequences                                                                                                   , "Harshvardhan Agarwal, Sunita Sarawagi"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , https://proceedings.mlr.press/v267/agarwal25d.html
Proto Successor Measure: Representing the Behavior Space of an RL Agent                                                                                          , "Siddhant Agarwal, Harshit Sikchi, Peter Stone, Amy Zhang"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , https://proceedings.mlr.press/v267/agarwal25e.html
AlphaVerus: Bootstrapping Formally Verified Code Generation through Self-Improving Translation and Treefinement                                                  , "Pranjal Aggarwal, Bryan Parno, Sean Welleck"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , https://proceedings.mlr.press/v267/aggarwal25a.html
NextCoder: Robust Adaptation of Code LMs to Diverse Code Edits                                                                                                   , "Tushar Aggarwal, Swayam Singh, Abhijeet Awasthi, Aditya Kanade, Nagarajan Natarajan"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , https://proceedings.mlr.press/v267/aggarwal25b.html
FunBO: Discovering Acquisition Functions for Bayesian Optimization with FunSearch                                                                                , "Virginia Aglietti, Ira Ktena, Jessica Schrouff, Eleni Sgouritsa, Francisco Ruiz, Alan Malek, Alexis Bellot, Silvia Chiappa"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , https://proceedings.mlr.press/v267/aglietti25a.html
Understanding the difficulties of posterior predictive estimation                                                                                                , "Abhinav Agrawal, Justin Domke"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , https://proceedings.mlr.press/v267/agrawal25a.html
Optimal Sensor Scheduling and Selection for Continuous-Discrete Kalman Filtering with Auxiliary Dynamics                                                         , "Mohamad Al Ahdab, John Leth, Zheng-Hua Tan"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , https://proceedings.mlr.press/v267/ahdab25a.html
Online Laplacian-Based Representation Learning in Reinforcement Learning                                                                                         , "Maheed H. Ahmed, Jayanth Bhargav, Mahsa Ghasemi"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , https://proceedings.mlr.press/v267/ahmed25a.html
Otter: Generating Tests from Issues to Validate SWE Patches                                                                                                      , "Toufique Ahmed, Jatin Ganhotra, Rangeet Pan, Avraham Shinnar, Saurabh Sinha, Martin Hirzel"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , https://proceedings.mlr.press/v267/ahmed25b.html
